emotion,confidence,timestamp,datetime
neutral,0.57,1768804649.5879927,2026-01-19 13:37:29
neutral,0.48,1768804649.819593,2026-01-19 13:37:29
neutral,0.51,1768804650.0594592,2026-01-19 13:37:30
neutral,0.5,1768804650.2968137,2026-01-19 13:37:30
neutral,0.45,1768804650.5378864,2026-01-19 13:37:30
neutral,0.58,1768804650.7975912,2026-01-19 13:37:30
neutral,0.56,1768804651.138634,2026-01-19 13:37:31
neutral,0.44,1768804651.48602,2026-01-19 13:37:31
neutral,0.43,1768804651.8127947,2026-01-19 13:37:31
neutral,0.45,1768804652.0408082,2026-01-19 13:37:32
neutral,0.48,1768804652.3548214,2026-01-19 13:37:32
neutral,0.47,1768804652.6650233,2026-01-19 13:37:32
neutral,0.46,1768804652.9770272,2026-01-19 13:37:32
neutral,0.49,1768804653.2370446,2026-01-19 13:37:33
neutral,0.77,1768804653.570933,2026-01-19 13:37:33
neutral,0.59,1768804653.8847766,2026-01-19 13:37:33
neutral,0.69,1768804654.1913085,2026-01-19 13:37:34
neutral,0.58,1768804654.5076442,2026-01-19 13:37:34
neutral,0.48,1768804654.7956192,2026-01-19 13:37:34
neutral,0.48,1768804655.0721214,2026-01-19 13:37:35
neutral,0.42,1768804655.330708,2026-01-19 13:37:35
neutral,0.49,1768804655.5807767,2026-01-19 13:37:35
neutral,0.46,1768804655.8371239,2026-01-19 13:37:35
neutral,0.46,1768804656.0853999,2026-01-19 13:37:36
neutral,0.52,1768804656.371428,2026-01-19 13:37:36
sad,0.45,1768804656.6517797,2026-01-19 13:37:36
sad,0.47,1768804656.9190073,2026-01-19 13:37:36
neutral,0.51,1768804657.1892185,2026-01-19 13:37:37
neutral,0.55,1768804657.4345028,2026-01-19 13:37:37
sad,0.48,1768804657.7133305,2026-01-19 13:37:37
sad,0.47,1768804658.0990067,2026-01-19 13:37:38
neutral,0.43,1768804658.4235413,2026-01-19 13:37:38
neutral,0.32,1768804658.7358541,2026-01-19 13:37:38
neutral,0.37,1768804659.045694,2026-01-19 13:37:39
neutral,0.38,1768804659.3770509,2026-01-19 13:37:39
neutral,0.6,1768804659.71239,2026-01-19 13:37:39
neutral,0.58,1768804660.0074039,2026-01-19 13:37:40
neutral,0.49,1768804660.4147532,2026-01-19 13:37:40
neutral,0.64,1768804660.700318,2026-01-19 13:37:40
neutral,0.63,1768804660.981571,2026-01-19 13:37:40
neutral,0.59,1768804661.2709563,2026-01-19 13:37:41
neutral,0.54,1768804661.5809884,2026-01-19 13:37:41
neutral,0.57,1768804661.920326,2026-01-19 13:37:41
neutral,0.63,1768804662.1860602,2026-01-19 13:37:42
happy,0.44,1768804662.4331875,2026-01-19 13:37:42
happy,0.36,1768804662.7606065,2026-01-19 13:37:42
happy,0.98,1768804663.1570475,2026-01-19 13:37:43
happy,0.97,1768804663.3860662,2026-01-19 13:37:43
happy,0.89,1768804663.7454965,2026-01-19 13:37:43
happy,0.8,1768804664.0890515,2026-01-19 13:37:44
happy,0.98,1768804664.279621,2026-01-19 13:37:44
happy,0.97,1768804664.6268625,2026-01-19 13:37:44
happy,0.97,1768804664.9620452,2026-01-19 13:37:44
happy,0.97,1768804665.2484872,2026-01-19 13:37:45
happy,0.98,1768804665.4922776,2026-01-19 13:37:45
happy,0.98,1768804665.7354681,2026-01-19 13:37:45
happy,0.99,1768804666.0304384,2026-01-19 13:37:46
happy,0.98,1768804666.367757,2026-01-19 13:37:46
happy,0.98,1768804666.6387517,2026-01-19 13:37:46
happy,0.94,1768804666.9754581,2026-01-19 13:37:46
happy,0.94,1768804667.253109,2026-01-19 13:37:47
happy,0.96,1768804667.5325143,2026-01-19 13:37:47
happy,0.91,1768804667.7009335,2026-01-19 13:37:47
happy,0.87,1768804668.0430489,2026-01-19 13:37:48
happy,0.88,1768804668.314144,2026-01-19 13:37:48
happy,0.93,1768804668.567068,2026-01-19 13:37:48
happy,0.95,1768804668.8195908,2026-01-19 13:37:48
happy,0.3,1768804669.0248077,2026-01-19 13:37:49
happy,0.31,1768804669.3776224,2026-01-19 13:37:49
happy,0.93,1768804669.756031,2026-01-19 13:37:49
neutral,0.57,1768804670.0658844,2026-01-19 13:37:50
neutral,0.79,1768804670.2392478,2026-01-19 13:37:50
neutral,0.59,1768804670.4313715,2026-01-19 13:37:50
neutral,0.57,1768804670.7910542,2026-01-19 13:37:50
neutral,0.65,1768804671.0632575,2026-01-19 13:37:51
neutral,0.38,1768804671.4653687,2026-01-19 13:37:51
sad,0.42,1768804671.718465,2026-01-19 13:37:51
angry,0.51,1768804671.9849186,2026-01-19 13:37:51
angry,0.43,1768804672.155251,2026-01-19 13:37:52
angry,0.43,1768804672.379645,2026-01-19 13:37:52
sad,0.46,1768804672.6378515,2026-01-19 13:37:52
sad,0.48,1768804672.9044192,2026-01-19 13:37:52
sad,0.47,1768804673.1890674,2026-01-19 13:37:53
sad,0.43,1768804673.5510907,2026-01-19 13:37:53
angry,0.43,1768804673.899593,2026-01-19 13:37:53
sad,0.4,1768804674.122499,2026-01-19 13:37:54
sad,0.43,1768804674.3480139,2026-01-19 13:37:54
angry,0.39,1768804674.586434,2026-01-19 13:37:54
angry,0.38,1768804674.906315,2026-01-19 13:37:54
neutral,0.39,1768804675.215357,2026-01-19 13:37:55
sad,0.43,1768804675.5292304,2026-01-19 13:37:55
neutral,0.4,1768804675.8450387,2026-01-19 13:37:55
happy,0.72,1768804676.1996434,2026-01-19 13:37:56
happy,0.41,1768804676.4345481,2026-01-19 13:37:56
happy,0.74,1768804676.8251061,2026-01-19 13:37:56
sad,0.52,1768804677.4910395,2026-01-19 13:37:57
sad,0.37,1768804677.789671,2026-01-19 13:37:57
neutral,0.43,1768804678.0468106,2026-01-19 13:37:58
happy,0.34,1768804678.346654,2026-01-19 13:37:58
neutral,0.41,1768804678.5393705,2026-01-19 13:37:58
neutral,0.39,1768804678.792925,2026-01-19 13:37:58
sad,0.38,1768804679.0724726,2026-01-19 13:37:59
neutral,0.46,1768804679.4031835,2026-01-19 13:37:59
neutral,0.43,1768804679.7032504,2026-01-19 13:37:59
neutral,0.39,1768804680.0597603,2026-01-19 13:38:00
sad,0.38,1768804680.3871567,2026-01-19 13:38:00
neutral,0.47,1768804680.6346252,2026-01-19 13:38:00
sad,0.45,1768804680.893558,2026-01-19 13:38:00
sad,0.4,1768804681.1342077,2026-01-19 13:38:01
sad,0.41,1768804681.401056,2026-01-19 13:38:01
neutral,0.38,1768804681.6387386,2026-01-19 13:38:01
sad,0.51,1768804681.9632375,2026-01-19 13:38:01
sad,0.45,1768804682.231901,2026-01-19 13:38:02
sad,0.4,1768804682.5396924,2026-01-19 13:38:02
neutral,0.37,1768804682.8784368,2026-01-19 13:38:02
sad,0.38,1768804683.1651032,2026-01-19 13:38:03
sad,0.5,1768804683.501509,2026-01-19 13:38:03
sad,0.43,1768804683.7793992,2026-01-19 13:38:03
sad,0.43,1768804684.0539358,2026-01-19 13:38:04
