emotion,confidence,timestamp
neutral,0.53,1767000794.4029317
neutral,0.31,1767000794.5505576
neutral,0.78,1767000794.7107205
neutral,0.8,1767000794.8641267
neutral,0.76,1767000795.0213113
neutral,0.72,1767000795.175924
happy,0.29,1767000795.348606
happy,0.44,1767000796.917151
happy,0.43,1767000797.092159
neutral,0.5,1767000797.2552059
neutral,0.48,1767000797.4180915
neutral,0.52,1767000797.579657
neutral,0.49,1767000797.7649443
neutral,0.59,1767000797.9144907
neutral,0.66,1767000798.0766623
neutral,0.69,1767000798.248308
neutral,0.58,1767000798.4115794
neutral,0.58,1767000798.584306
neutral,0.75,1767000798.7438467
neutral,0.7,1767000798.9251544
neutral,0.8,1767000799.0928993
neutral,0.85,1767000799.2582443
neutral,0.79,1767000799.4232402
happy,0.52,1767000799.593472
happy,0.8,1767000799.7661226
happy,0.81,1767000799.9332042
happy,0.79,1767000800.1452649
happy,0.65,1767000800.3371263
happy,0.75,1767000800.5363257
happy,0.69,1767000800.7285254
happy,0.52,1767000800.8899639
happy,0.64,1767000801.0664744
angry,0.26,1767000801.2488384
happy,0.65,1767000801.4357622
happy,0.7,1767000801.6333053
happy,0.4,1767000801.8006847
happy,0.8,1767000801.9791667
happy,0.75,1767000802.1820004
sad,0.3,1767000802.364015
angry,0.38,1767000802.5598779
angry,0.34,1767000802.7348611
angry,0.43,1767000802.9368055
fear,0.35,1767000803.098546
angry,0.27,1767000803.301643
fear,0.31,1767000803.4622402
angry,0.52,1767000803.6344676
angry,0.45,1767000803.8052714
angry,0.37,1767000803.9998999
angry,0.3,1767000804.1752508
fear,0.34,1767000804.3619797
angry,0.35,1767000804.5654864
angry,0.31,1767000804.7311625
fear,0.33,1767000804.9387438
angry,0.37,1767000805.1175125
fear,0.38,1767000805.2606423
neutral,0.38,1767000805.414298
angry,0.29,1767000805.5719974
angry,0.38,1767000805.7492487
angry,0.34,1767000805.9099782
neutral,0.4,1767000806.0768392
neutral,0.46,1767000806.253273
neutral,0.38,1767000806.4071913
neutral,0.35,1767000806.5786445
neutral,0.35,1767000806.7373354
neutral,0.39,1767000806.9190526
fear,0.34,1767000807.0763702
neutral,0.42,1767000807.2449553
neutral,0.45,1767000807.4395332
neutral,0.46,1767000807.6132123
neutral,0.46,1767000807.7744908
neutral,0.64,1767000807.9407172
neutral,0.69,1767000808.1166797
neutral,0.6,1767000808.277891
neutral,0.66,1767000808.4442995
neutral,0.51,1767000808.6259515
neutral,0.48,1767000808.7796683
neutral,0.46,1767000808.9506865
neutral,0.33,1767000809.110201
neutral,0.33,1767000809.26859
neutral,0.31,1767000809.4137483
angry,0.38,1767000809.5731986
angry,0.38,1767000809.7584693
angry,0.37,1767000809.9082685
angry,0.34,1767000810.0723329
angry,0.32,1767000810.2416534
angry,0.4,1767000810.4099872
angry,0.39,1767000810.5875204
neutral,0.39,1767000810.7410054
neutral,0.52,1767000810.8907459
neutral,0.45,1767000811.040957
neutral,0.44,1767000811.2040863
neutral,0.4,1767000811.3782218
neutral,0.5,1767000811.5397506
neutral,0.48,1767000811.6931734
neutral,0.33,1767000811.8508987
neutral,0.3,1767000812.0075514
neutral,0.32,1767000812.1728845
fear,0.33,1767000812.336532
fear,0.32,1767000812.4997785
angry,0.42,1767000812.641472
neutral,0.69,1767000812.8029459
neutral,0.64,1767000812.98419
neutral,0.74,1767000813.1312802
neutral,0.68,1767000813.3001351
neutral,0.73,1767000813.4540746
neutral,0.75,1767000813.6029758
neutral,0.72,1767000813.7731287
neutral,0.63,1767000813.939817
neutral,0.69,1767000814.0978148
neutral,0.72,1767000814.2546723
neutral,0.71,1767000814.4083114
neutral,0.76,1767000814.5845008
neutral,0.82,1767000814.747584
neutral,0.82,1767000814.9077747
neutral,0.84,1767000815.0809867
neutral,0.81,1767000815.2370787
neutral,0.79,1767000815.3854825
neutral,0.81,1767000815.5383894
neutral,0.73,1767000815.6969035
neutral,0.76,1767000815.8490233
neutral,0.75,1767000816.0068376
neutral,0.69,1767000816.1744936
neutral,0.47,1767000816.343359
fear,0.42,1767000816.4990206
fear,0.42,1767000816.647846
fear,0.41,1767000816.7948618
fear,0.34,1767000816.980811
fear,0.41,1767000817.139962
fear,0.4,1767000817.2931278
fear,0.42,1767000817.439626
fear,0.31,1767000817.5973518
fear,0.41,1767000817.7784503
fear,0.56,1767000817.9430718
fear,0.58,1767000818.0880423
fear,0.44,1767000818.2374716
fear,0.45,1767000818.4037156
fear,0.38,1767000818.571147
fear,0.45,1767000818.7380233
fear,0.51,1767000818.9040582
fear,0.44,1767000819.0793447
fear,0.44,1767000819.2288966
fear,0.4,1767000819.3799381
fear,0.41,1767000819.5352094
neutral,0.41,1767000819.6976295
neutral,0.32,1767000819.8523638
neutral,0.39,1767000820.0054045
neutral,0.43,1767000820.1781652
neutral,0.34,1767000820.3367436
fear,0.36,1767000820.497182
sad,0.43,1767000820.639919
sad,0.33,1767000820.7948828
fear,0.38,1767000820.9777796
sad,0.48,1767000821.1406085
sad,0.36,1767000821.2910888
sad,0.42,1767000821.439746
sad,0.35,1767000821.600007
sad,0.42,1767000821.776416
sad,0.4,1767000821.9369402
sad,0.39,1767000822.098259
sad,0.42,1767000822.2512677
sad,0.41,1767000822.4018142
sad,0.41,1767000822.5859864
sad,0.42,1767000822.7355273
sad,0.38,1767000822.8971813
sad,0.38,1767000823.0384004
sad,0.46,1767000823.2141335
sad,0.39,1767000823.3839908
neutral,0.48,1767000823.540606
neutral,0.5,1767000823.692883
neutral,0.52,1767000823.8439262
neutral,0.52,1767000823.99932
neutral,0.44,1767000824.173292
